,station,lat,lon,n_blocks,gev_c,gev_loc,gev_scale,ks_stat,ks_pvalue,kuiper,r2_cdf,cluster
147,418,52.932617,5.0459771,64,0.2835031600844358,0.9652664775775045,0.39341944129591666,0.06618237731177862,0.9243232635256052,0.11545101227830873,0.9944357609726587,4
148,42,47.27,-2.2,438,0.003288080751558165,0.5008344856843739,0.22316446157269904,0.030669444956387626,0.7926107956575761,0.056188403208136284,0.9980852524394643,3
149,423,52.464966,4.5179009,64,0.2972915218855291,0.9226461810417415,0.34173326418437033,0.056164198582164204,0.9808310102146018,0.11147951777788012,0.9940065583055094,4
150,43,48.359299,-4.7809,321,-0.00900475576775597,0.35581901682924555,0.13697953018288586,0.04276292506187607,0.5848777494871846,0.08031374055332163,0.9968079465229704,3
151,44,47.644299,-3.4459901,310,0.02224738338279867,0.34180702135294394,0.14517807468654392,0.042564070373912855,0.6126162705867291,0.06742610924103687,0.9971927405232097,3
152,448,54.842556,-5.120028,335,0.008244616360175408,0.544161911917515,0.21231029438071847,0.05333944921642397,0.2860736742055028,0.08929510450478786,0.9949499138981591,3
153,449,54.66475,-5.669472,172,-0.1350229117321674,0.5158023091651156,0.44303496219491134,0.10131478522989518,0.05452239157633332,0.20165928453085075,0.9696081797414356,1
154,45,47.140381,-2.24635,303,0.10532889346280243,0.42101523753200265,0.20442421295922686,0.04019503712772576,0.6962415568864482,0.06746873385623142,0.9971003009702788,3
155,450,54.6364,-8.3949,103,0.12604175288502012,0.4712578530581005,0.22582278560731772,0.07665370321090804,0.554333802446543,0.14707175647278303,0.9859264013523953,1
156,451,54.9905,-8.4955,98,0.02150309441394161,0.45036981630966205,0.18325976413233278,0.06227534224597142,0.8187829577136294,0.12445456437947866,0.9907547045654486,3
157,452,54.2536,-9.8928,93,0.05504727298595729,0.3744106163210909,0.1413713937351212,0.06274484987565632,0.8348725481901397,0.10369574701998069,0.9950725373918972,3
158,453,54.3099,-8.582,76,0.16758545647505058,0.4552947485514962,0.2453474413341834,0.06345205267871817,0.9003919046762605,0.12048110730005746,0.9940638495400849,1
159,455,54.8424,-5.1188998,199,-0.014100868894410961,0.5361541281986855,0.21223753112782331,0.05126580475982068,0.6530803533557257,0.08656877221719556,0.995048248737336,3
160,456,54.665001,-5.6691999,172,-0.036060983822157305,0.4839698162226743,0.1957459841966196,0.047247802836415526,0.819602749845445,0.08807209787112283,0.9960041359810279,3
161,457,54.636398,-8.3949003,103,0.1341108903167227,0.4645061041812215,0.2283007444865871,0.06931456922647905,0.6792050220513769,0.11647338486494623,0.9908735068079444,1
162,458,54.989601,-8.4956198,98,0.053776998686837135,0.41736310478279703,0.17783776771134943,0.0556157351420454,0.9055589413497367,0.10688653430833348,0.9931880900327144,3
163,459,54.252998,-9.8900003,94,0.059906958315428055,0.3476177899837034,0.13321290402719022,0.05092549642964317,0.9574773956873973,0.09203158721638882,0.9932166230177832,3
164,46,48.718399,-3.9658999,307,0.012475026410256947,0.3798306420421125,0.13308006025403601,0.05517557106962512,0.29640042211549955,0.09302281669202747,0.9954884976277368,3
165,460,54.3046,-8.5689001,72,0.014666908443953306,0.4330471219937083,0.26004480331019236,0.07052545450397696,0.8414455714590751,0.1360849926380557,0.989349336435217,1
166,462,54.031833,-2.92025,352,-0.025301387963280388,0.7899235194145884,0.3343905383365694,0.04985736587924455,0.33465532650702534,0.09817698088304377,0.9920828126536672,1
167,463,54.49,-0.614694,265,-0.05188177398630965,0.5391415476558943,0.24472470030911236,0.04663138422839164,0.5951583337975224,0.08532500073064919,0.9954057478522749,1
168,464,54.650722,-3.567167,198,-0.0022827537618345124,0.7225043747228652,0.2770164777376248,0.06711908096832697,0.3199906722031083,0.12944381381627765,0.990901507262203,1
169,465,54.085222,-4.768056,181,-0.0007047523551328176,0.5067316475286403,0.19570299729904583,0.048817896747833434,0.7625489599401101,0.08886991511269182,0.9966616305188385,3
170,467,54.48862,-0.61462,66,-0.057341058005342976,0.5490037994405421,0.2562883743563825,0.07812288243817733,0.7861011661714488,0.13510662684936586,0.9893010239027342,1
171,468,54.82326593,9.65412763,151,-0.026872236088954435,0.6030219988497372,0.24681193425313985,0.05413721253110057,0.7470940680696079,0.10632421369186637,0.991621561985207,1
172,469,54.79504891,9.433011,151,-0.013517511982260713,0.6388833864115735,0.25354554222863407,0.06556210950591773,0.5138511294764343,0.11402669203099941,0.9898598378847772,1
173,47,46.148701,-1.2259001,243,0.00047094776645560275,0.4470303678971996,0.198021291639909,0.06581245284666021,0.23283581096184947,0.10183815887263165,0.9938335833875728,3
174,470,54.75978757,8.29700482,151,0.21546059864460868,1.086854589178403,0.41532634605181235,0.10661857105966344,0.05991782381069233,0.20727410382067013,0.9688111230238889,4
