,Unnamed: 0,station,lat,lon,n_blocks,gev_c,gev_loc,gev_scale,ks_stat,ks_pvalue,kuiper,r2_cdf,cluster,geometry,CVI_Category,dist_to_CVI_m,Morpho,CoastType,dist_to_morpho_m,wave_nc_mean_0p1deg,wave_atl_mean_0p1deg,current_mean_0p1deg,current_mean_1deg,dist_to_river_outlet_m,GEV_ID,HYRIV_ID,dist_to_nearest_river_m,nearest_CATCH_SKM_10km,nearest_DIS_AV_CMS_10km,river_index_10km,coastal_type
10,10,115,50.59419,-4.83437,79,0.1666023245306987,1.1442777049313766,0.2827630824126496,0.045765113118623,0.9938907416007688,0.0843020766895498,0.996001550032402,4,POINT (-4.83437 50.59418999999999),Lower,25.26518709018828,A,"Erosion-resistant rock and/or cliff, without loose eroded material in the fronting sea",6.487683932702096,1.1342230902777777,198.15013692323228,60.98871824102406,141.3594533588179,6250.816501715348,10,20360236,4006.180301056359,10.23,0.29,0.035119109453552254,84200 Coastal waters
11,11,12,47.277217,-1.8898,213,-0.0491542570636995,0.6805387222152965,0.276738005425897,0.053283839041114,0.5625192346403777,0.1046031321094873,0.9891098785762912,1,POINT (-1.8898000000000001 47.27721699999999),No data,214.4844868333112,H,Estuary,12975.496583238471,0.0,,,,6437.808514999767,11,20447497,14.87610013435347,11.51,1020.908,0.9316489737669296,
12,11,12,47.277217,-1.8898,213,-0.0491542570636995,0.6805387222152965,0.276738005425897,0.053283839041114,0.5625192346403777,0.1046031321094873,0.9891098785762912,1,POINT (-1.8898000000000001 47.27721699999999),No data,214.4844868333112,H,Estuary,12975.496583238471,0.0,,,,6437.808514999767,12,20447497,14.87610013435347,11.51,1020.908,0.9316489737669296,12320 Passenger port
13,11,12,47.277217,-1.8898,213,-0.0491542570636995,0.6805387222152965,0.276738005425897,0.053283839041114,0.5625192346403777,0.1046031321094873,0.9891098785762912,1,POINT (-1.8898000000000001 47.27721699999999),No data,214.4844868333112,G,"Muddy coastline, including tidal flat, salt marsh",12975.496583238471,0.0,,,,6437.808514999767,13,20447497,14.87610013435347,11.51,1020.908,0.9316489737669296,84200 Coastal waters
14,11,12,47.277217,-1.8898,213,-0.0491542570636995,0.6805387222152965,0.276738005425897,0.053283839041114,0.5625192346403777,0.1046031321094873,0.9891098785762912,1,POINT (-1.8898000000000001 47.27721699999999),No data,214.4844868333112,G,"Muddy coastline, including tidal flat, salt marsh",12975.496583238471,0.0,,,,6437.808514999767,14,20447497,14.87610013435347,11.51,1020.908,0.9316489737669296,12320 Passenger port
15,12,120,50.9693985,1.86772001,308,0.1421289654177601,0.7273384286287202,0.2643980262639626,0.045531297094057,0.5305847711269083,0.0856281848467286,0.9964328979336708,1,POINT (1.8677200100000002 50.96939849999999),No data,11.889052158588319,L,Coastal embankment with construction,460.8244544417971,1.0083550347222223,258.1670189223179,588.2617180487565,321.3934297002169,535.0041423770325,15,20349542,364.697362809206,26.5,0.473,0.25231275049331287,84200 Coastal waters
16,13,121,50.72738,1.57766,238,0.1017201016680907,0.735742689302981,0.2818743775898544,0.0426679516799905,0.7625423098737214,0.0808788486227371,0.9962419604503608,1,POINT (1.5776600000000003 50.72737999999998),No data,45.692198195950695,J,Harbor area,41.157406277431825,1.4376085069444444,350.41108767102594,356.9430362876628,311.66472991236355,1213.5786802778923,16,20356649,1134.9904071760172,20.8,5.789,0.865252147659082,72100 Salt marshes
17,14,122,50.969501,1.8677,308,0.1419396347846442,0.7276494033863857,0.264416920889336,0.0478535064020442,0.4666063888121182,0.0877415703838969,0.9963227524681312,1,POINT (1.8677 50.969501),No data,18.162382481578312,L,Coastal embankment with construction,442.8876183114482,1.0083550347222223,258.1670189223179,588.2617180487565,321.3934297002169,527.682771667893,17,20349542,366.10085705553183,26.5,0.473,0.2535219512614719,12360 Local multi-functional harbours
18,15,123,50.727501,1.5774,238,0.0986951135284228,0.7343081439571194,0.2812544634442696,0.0408189440706775,0.8071315183587883,0.0801758891605168,0.9963773144882602,1,POINT (1.5773999999999997 50.727501),No data,76.1543719404941,J,Harbor area,56.51266119746089,1.4376085069444444,349.98124059842746,356.790435511854,311.72345320967025,1226.0997074742966,18,20356649,1153.327840034828,20.8,5.789,0.8603854089248685,12340 Naval port
19,16,124,50.783298,0.06667,205,-0.0001879269776253,0.4318347578558201,0.1530287645171121,0.0595155350032734,0.4449934587098092,0.1151664095836877,0.9898439158761054,3,POINT (0.06667 50.783297999999995),Lower,162.6579752406713,D,Gravel beach fronting upland (> 1 km long),313.0460506265498,1.0495876736111112,265.6202545993733,179.75228537300688,349.11667241731453,495.7392669655497,19,20354233,495.7392669655497,32.55,9.002,1.539563217344074,
20,17,125,50.368401,-4.1852002,203,0.0334330188628673,0.3910876017883575,0.1375209791120469,0.0470058105294253,0.7425865813078877,0.0800455969658513,0.9965700114777132,3,POINT (-4.1852002 50.368400999999984),Lower,33.585947648260614,H,Estuary,1834.2174016073004,1.0851779513888888,267.4130746391866,16.0248497699407,177.72774450428446,1924.1269319369094,20,20364199,1924.1269319369094,6.16,0.202,0.06292026540394499,84200 Coastal waters
21,17,125,50.368401,-4.1852002,203,0.0334330188628673,0.3910876017883575,0.1375209791120469,0.0470058105294253,0.7425865813078877,0.0800455969658513,0.9965700114777132,3,POINT (-4.1852002 50.368400999999984),Lower,33.585947648260614,H,Estuary,1834.2174016073004,1.0851779513888888,267.4130746391866,16.0248497699407,177.72774450428446,1924.1269319369094,21,20364199,1924.1269319369094,6.16,0.202,0.06292026540394499,84200 Coastal waters
22,17,125,50.368401,-4.1852002,203,0.0334330188628673,0.3910876017883575,0.1375209791120469,0.0470058105294253,0.7425865813078877,0.0800455969658513,0.9965700114777132,3,POINT (-4.1852002 50.368400999999984),Lower,33.585947648260614,C,Small beaches,1834.2174016073004,1.0851779513888888,267.4130746391866,16.0248497699407,177.72774450428446,1924.1269319369094,22,20364199,1924.1269319369094,6.16,0.202,0.06292026540394499,
23,17,125,50.368401,-4.1852002,203,0.0334330188628673,0.3910876017883575,0.1375209791120469,0.0470058105294253,0.7425865813078877,0.0800455969658513,0.9965700114777132,3,POINT (-4.1852002 50.368400999999984),Lower,33.585947648260614,C,Small beaches,1834.2174016073004,1.0851779513888888,267.4130746391866,16.0248497699407,177.72774450428446,1924.1269319369094,23,20364199,1924.1269319369094,6.16,0.202,0.06292026540394499,84200 Coastal waters
24,18,126,50.8004,-1.1102,203,-0.0596132677969032,0.4399705751248702,0.1641270308372304,0.0419780705279861,0.8517485450560376,0.0732083011460086,0.996905945331084,3,POINT (-1.1102 50.8004),Lower,13.101302189063427,H,Estuary,2088.7985704217704,1.1494140625,61.77638752662094,112.75363457333432,593.3138558140553,4444.242450943722,24,20354123,4185.866608048843,11.39,0.174,0.029465389123120574,84200 Coastal waters
