,Unnamed: 0,wind_wave_alignment,lat,tp,lon,mwd,mwp,wind_dir,v10_abs,tau_v,msl,sp,v10,u10_abs,swh,station,extract_time,cluster
127,127,,48.383,0.00031471252,-4.495,,,53.730343,6.9335175,0.723415,98471.69,98242.34,6.9335175,9.449326,,1,1973-10-16 02:00:00,3
128,128,,48.383,0.002471447,-4.495,,,47.496677,13.990036,4.7580943,99311.375,99080.945,13.990036,15.265671,,1,1974-01-08 10:00:00,4
129,129,,48.383,0.0019106865,-4.495,,,24.91701,17.017288,3.6456816,97165.75,96937.57,17.017288,7.905304,,1,1974-02-11 10:00:00,4
130,130,,48.383,0.0010771751,-4.495,,,18.435154,7.627121,0.2355295,98844.31,98611.5,7.627121,2.5424042,,1,1974-05-02 21:00:00,3
131,131,,48.383,0.00013780594,-4.495,,,48.537846,2.1794128,0.01865811,99935.25,99703.17,2.1794128,2.4666595,,1,1974-06-28 05:00:00,1
132,132,,48.383,8.440018e-05,-4.495,,,18.877422,16.261398,2.341523,98816.69,98588.92,16.261398,5.560364,,1,1974-09-02 07:00:00,4
133,133,,48.383,0.0015134811,-4.495,,,40.2009,11.345139,1.9652288,98631.5,98400.99,11.345139,9.587692,,1,1974-11-14 00:00:00,4
134,134,,48.383,0.0010638237,-4.495,,,55.34753,7.256241,0.88025177,99194.69,98959.71,7.256241,10.49794,,1,1975-01-18 03:00:00,3
135,135,,48.383,0.00042009354,-4.495,,,289.11475,1.6366425,0.020144245,98853.69,98619.75,1.6366425,4.722412,,1,1975-03-04 03:00:00,7
136,136,,48.383,1.9073486e-05,-4.495,,,52.748314,2.043747,0.017876485,100765.94,100530.38,2.043747,2.6875,,1,1975-04-18 16:00:00,1
137,137,,48.383,2.2888184e-05,-4.495,,,6.85198,8.525711,0.118588366,100872.06,100639.25,8.525711,1.0244751,,1,1975-07-08 08:00:00,3
138,138,,48.383,9.059906e-06,-4.495,,,92.50757,0.2258606,-0.00041897874,101883.75,101649.02,-0.2258606,5.1574097,,1,1975-08-10 14:00:00,2
