,Unnamed: 0,station,lat,lon,n_blocks,gev_c,gev_loc,gev_scale,ks_stat,ks_pvalue,kuiper,r2_cdf,cluster,DU,CODE_1_18,CODE_2_18,CODE_3_18,CODE_4_18,CODE_5_18,COMMENT_18
68,68,2,48.383,-4.5,435,0.0224400362589141,0.3968659817258183,0.1553869928067934,0.0263596537455137,0.9150859787373352,0.0504087220887534,0.999002687603636,3,4,1,11,111,1111,11110,
69,69,200,51.819721,4.128239,347,0.4682697404464493,0.544457918052305,0.2542162687850546,0.0873524534214338,0.0094065204553523,0.1692511153755481,0.9658144583624616,5,4,1,12,123,1236,12360,
70,70,203,51.977572,4.119881,347,0.0662841224134598,0.8290128473746894,0.3285054774966918,0.0611202813495485,0.143552226872747,0.1149897985021831,0.9887982554151212,1,4,8,81,811,8110,81100,
71,71,205,51.543944,3.865419,93,0.2153186249769679,0.9070271510292012,0.4202849810668145,0.0840512148537714,0.5005331020736676,0.148851605551063,0.9854248908618448,4,4,8,81,811,8110,81100,
72,72,208,51.666274,4.095356,109,0.2678784429600502,0.953489372989268,0.4523923553806188,0.1076712547008899,0.1483977623523142,0.1816446797356556,0.9773841301583674,4,4,1,12,121,1210,12100,
73,73,209,51.659342,4.144264,180,0.1968395417256866,0.8895347498685238,0.3963881305409373,0.0602732521587379,0.5107784390912525,0.1132746728905469,0.9899672725172156,4,4,1,11,112,1121,11210,
74,74,21,46.007357,-1.174341,95,0.0139829540510978,0.6237095711064093,0.1692671577716304,0.0805617929850233,0.5414308159951945,0.1270376561780156,0.9930492079813832,3,4,8,84,842,8420,84200,
75,75,210,51.450047,4.229827,238,-0.8587941136435497,0.5897884111775487,0.1616734818937839,0.2058071635709669,2.562046976938572e-09,0.3705185051970265,0.9013495572641682,3,4,8,81,811,8110,81100,
76,76,216,51.773558,4.192415,134,0.4912821208928159,0.4638994719178551,0.17118174678964,0.0920109710788826,0.1942558344738671,0.1530147455890008,0.981029793594399,5,4,8,81,812,8120,81200,
77,77,22,45.199667,-0.744167,91,-0.0917220124427881,0.6163827769752459,0.2603633264669416,0.039424227691416,0.9979367779229794,0.0767646570601526,0.996622666676332,1,4,8,83,832,8320,83200,
78,78,226,51.619106,3.686358,191,0.0382425308318658,0.763112736618857,0.3317893613831665,0.0491598916470561,0.7261274145438514,0.0927985634193094,0.9946671656807856,1,4,8,83,832,8320,83200,
79,79,227,51.619592,3.682065,192,0.0652186623407508,0.8331660377125201,0.3508929775996812,0.0482977238831857,0.7428983462052065,0.0846844438439981,0.9940796706211984,1,4,8,84,842,8420,84200,
80,80,23,45.453667,-0.92305,74,-0.1219335227770843,0.4549661648450204,0.1546591748515923,0.0574151022191438,0.9560457343763746,0.0931355895428601,0.9950276801167082,3,4,8,83,832,8320,83200,
81,81,236,51.595404,4.006011,288,0.1854655269403114,0.904884382919608,0.3955283017813077,0.0575570937769902,0.2847238531240873,0.1090484452805799,0.9903397850345402,4,4,4,41,410,4100,41000,
82,82,237,51.626665,4.254928,160,0.4758685287689885,1.192206768321109,0.4519541772022785,0.0774177166984085,0.2783203192004349,0.1443299902013249,0.9794213921248746,4,4,4,42,421,4210,42100,
83,83,238,51.827026,4.033445,75,0.253623727768445,1.0784038311055957,0.3876208573170457,0.0904188428365199,0.5417508140037315,0.1619533030174799,0.980720162680018,4,4,8,84,842,8420,84200,
84,84,240,51.336209,3.819812,347,0.1801778810874713,1.004776644342472,0.3807458522523124,0.0804272173151332,0.0212092594538015,0.142079370723772,0.9828060619351217,4,4,8,83,832,8320,83200,
85,85,242,51.599317,3.75183,85,0.2002121415779195,0.8393378942445249,0.4181867745780904,0.0841592060108307,0.5551793611900513,0.1360361252111261,0.9871674622707765,4,4,8,83,832,8320,83200,
86,86,243,51.442308,3.596057,347,0.0892318093940601,0.9109185391853984,0.3475236198536596,0.0686749828244183,0.072284138571637,0.1164941094858774,0.9879835456490804,4,4,1,12,123,1231,12310,
87,87,245,51.496839,4.056964,169,0.223274113915989,0.9949721411357032,0.4054819794862631,0.0783715522843687,0.2376546127432112,0.1556797268342728,0.980474573987199,4,4,8,81,811,8110,81100,
88,88,248,51.521445,3.440031,288,0.1301510736288484,0.850402539454642,0.3479896662903667,0.0785715243177734,0.0540741309149573,0.1151631943763305,0.9891958564254634,4,4,8,84,842,8420,84200,
89,89,251,51.642157,3.910813,157,0.1947756148639048,0.951807241545944,0.3897902573518147,0.0685168878846343,0.4332364328334149,0.1252588032609281,0.9872392537032216,4,4,8,81,811,8110,81100,
90,90,254,51.33621206,3.81981192,174,0.4135014054155912,1.254242380715485,0.3735630678727462,0.0672360379434177,0.3936936134796616,0.1245119170681758,0.9870677469837004,4,4,8,83,832,8320,83200,
91,91,255,51.76762642,3.61712418,257,0.1295662838124163,0.8512239561657129,0.3250494154559784,0.0748096571995268,0.1070323049814581,0.1244073344489112,0.986748667426431,1,4,8,84,841,8410,84100,
92,92,259,51.64286987,3.4810545,190,0.1064380592375744,0.8501691923204671,0.3263498699225017,0.0741681339945656,0.234946558903333,0.131655609971716,0.9823285374237766,1,4,8,84,841,8410,84100,
93,93,260,51.39842692,4.02620594,185,0.4356971004889331,1.1870694526093022,0.4379070296517662,0.0939967461163453,0.0712694250529483,0.181678059403542,0.9707210002507126,4,4,8,83,832,8320,83200,
