,Unnamed: 0,station,lat,lon,n_blocks,gev_c,gev_loc,gev_scale,ks_stat,ks_pvalue,kuiper,r2_cdf,cluster,DU,CODE_1_18,CODE_2_18,CODE_3_18,CODE_4_18,CODE_5_18,COMMENT_18
94,94,264,51.37786806,4.16499237,141,0.3846300315844795,1.213474019465965,0.4145321495693476,0.1064321714913543,0.076114709188385,0.2000423520260211,0.9690266268071576,4,4,8,83,832,8320,83200,
95,95,265,51.37929817,3.37627452,114,0.3913757531184166,1.0913785047756814,0.3899133366535812,0.0590717063411165,0.7989458242389672,0.1038125985198714,0.995964199070086,4,4,8,84,842,8420,84200,
96,96,266,51.52144786,3.44003089,114,0.3660404003197368,1.0507767800732777,0.3875435198493319,0.0544950444828775,0.8688296143143603,0.1058318477314753,0.99506600698899,4,4,8,84,842,8420,84200,
97,97,269,51.59540662,4.00601046,108,0.3562715339376453,1.0638861860278972,0.4144797289568576,0.1017568010753194,0.199312548845966,0.1530774491222375,0.9848376087537384,4,4,4,41,410,4100,41000,
98,98,27,45.335567,-0.795167,66,-0.0346114564824332,0.5063830541812082,0.1541787313716212,0.0847712571645862,0.6979117686479517,0.1490342820967683,0.98954508310365,3,4,8,83,832,8320,83200,
99,99,270,51.50615366,4.07513028,101,0.4026566256546549,1.0236190653545134,0.431986471237422,0.0776854253644629,0.5495362827192856,0.1411184313074607,0.9846615728032356,4,4,8,81,811,8110,81100,
100,100,271,51.95823879,4.16144308,105,0.0202621787063698,0.8311823278357,0.3229995522298394,0.0575584353131879,0.857475611265049,0.1078394569020561,0.9922022384473024,1,4,8,81,811,8110,81100,
101,101,272,51.34208224,4.24763328,99,1.036871598977319,1.418534550807582,0.6021316709152906,0.1043739108642557,0.2154234423202192,0.1989652593443886,0.9583516517817364,2,4,8,81,811,8110,81100,
102,102,273,51.72154375,3.67591773,74,0.1293415639987823,1.0302778292400945,0.3413355211532947,0.1131152733243729,0.2784901251033277,0.1939391315658689,0.961802543077704,4,4,8,84,842,8420,84200,
103,103,277,51.58282787,3.47102233,63,0.1361046080456512,0.8899773155574646,0.3596925905806494,0.1172463092279753,0.3260817707861108,0.219570071342654,0.9654097696754588,4,4,8,84,841,8410,84100,
104,104,3,48.38290024,-4.49503994,433,-0.0086088869592824,0.3934152205858311,0.1575847210282359,0.0239700332743302,0.9596375798881104,0.0461293595381999,0.9989711463303338,3,4,8,84,842,8420,84200,
105,105,326,51.048199,2.3664999,364,0.1138698483621219,0.7568858367380076,0.3044426019435393,0.0384868888446243,0.63927220252538,0.0725278843009849,0.9973988846978225,1,4,8,81,812,8120,81200,
