station,n_years,annual_max,annual_max_year,c,loc,scale,ks_D,ks_p,lat,lon,status
251,27,1.9995131492614746,1968.0,1.0654709994387734,1.689630096414374,0.3301714060261386,0.12161904567860071,0.7752425904588445,51.642157,3.910813,ok
254,33,1.9977331161499023,1985.0,1.0926792351794532,1.5892163596640199,0.44637777703498505,0.20472405855290893,0.10879899905724821,51.33621206,3.81981192,ok
255,44,1.971071720123291,2013.0,0.4258285237773436,1.4386369974090634,0.26618125754238753,0.14091519679737596,0.3162915614003827,51.76762642,3.61712418,ok
259,33,1.9518487453460693,2013.0,0.39456724067140336,1.4730027675361783,0.2282114530578788,0.09756456838646288,0.881917342733645,51.64286987,3.4810545,ok
260,31,1.9920313358306885,1994.0,1.0450200389734667,1.8489278407985803,0.149546019955693,0.08355366353460725,0.9694153520734775,51.39842692,4.02620594,ok
264,24,1.9979662895202637,2007.0,1.2102654624806362,1.871326230691675,0.15326808936675695,0.12223046901858409,0.8239267555304098,51.37786806,4.16499237,ok
265,24,1.9777203798294067,1983.0,1.0865564772918472,1.4009015713602695,0.6267462125659066,0.12962221140374053,0.7678882070718887,51.37929817,3.37627452,ok
266,24,1.9443178176879883,1977.0,1.09885675488358,1.3701029921118972,0.6309798398385844,0.1356296626888659,0.7195088430338354,51.52144786,3.44003089,ok
269,22,1.997775673866272,1976.0,1.0939785017418293,1.4647509473292057,0.5831175917283681,0.17378328228957102,0.4679279659517436,51.59540662,4.00601046,ok
27,12,1.6076372861862183,2009.0,,,,,,45.335567,-0.795167,skipped (<20 years)
270,19,1.8868343830108643,1987.0,,,,,,51.50615366,4.07513028,skipped (<20 years)
271,18,1.9643648862838745,2013.0,,,,,,51.95823879,4.16144308,skipped (<20 years)
272,18,1.9992541074752808,1990.0,,,,,,51.34208224,4.24763328,skipped (<20 years)
273,14,1.9960911273956299,1990.0,,,,,,51.72154375,3.67591773,skipped (<20 years)
276,0,,,,,,,,51.99220543,4.00771079,skipped (<20 years)
277,11,1.9078527688980103,1983.0,,,,,,51.58282787,3.47102233,skipped (<20 years)
3,72,1.4530620574951172,1987.0,-0.18172921088719135,0.6906468816860476,0.1269955602452752,0.06472698625865025,0.9043679748721106,48.38290024,-4.49503994,ok
326,67,1.9701777696609497,1983.0,1.057491673177045,0.10553081330340006,1.9718486297630298,0.5176381543357536,3.260179408491585e-17,51.048199,2.3664999,ok
327,35,1.9902446269989014,2018.0,0.22837083894518884,1.0464904998990683,0.30253061575474616,0.12872599310220623,0.563965045525658,51.116699,1.3166699,ok
328,34,1.9567009210586548,2021.0,0.1417283907832721,1.2375213844179302,0.29282093272540244,0.12456089467500758,0.6224590534698788,51.216702,-3.1333301,ok
329,34,1.5374947786331177,1990.0,0.15495532436646614,0.8128487596523362,0.23575128664712613,0.14913461234582354,0.39695394753307234,51.216702,-4.1166701,ok
330,32,1.9858404397964478,1993.0,0.636011406880356,1.4925211492808068,0.3312836581119345,0.14097900712181038,0.5037574624139101,51.549599,-2.9860001,ok
331,32,1.9399871826171875,1998.0,0.0556457527833697,0.9775547854831195,0.2507683645986164,0.1375208242048942,0.5352165672133484,51.569698,-3.9737,ok
332,31,1.9990123510360718,2018.0,1.01824877336397,1.5708632745505033,0.4359622719483467,0.12089435858129788,0.710530042414319,51.450001,0.75,ok
333,28,1.983809232711792,2007.0,0.7180061666707167,1.567373188506087,0.31015809448565934,0.17139613668157577,0.3433706106568791,51.381985,1.1155597,ok
334,26,1.9950488805770874,1998.0,0.7528523395252849,1.6006888315035879,0.30476080697897195,0.191584928725807,0.2604885862917907,51.507099,-2.7114,ok
335,22,1.996158242225647,1993.0,0.5778909493169022,1.356061729051782,0.4162408242433834,0.11811140816686949,0.8837757832290009,51.966702,1.35,ok
336,21,1.9988152980804443,2018.0,0.2535292953855724,1.3047316922228314,0.3153119917195465,0.1051923536057282,0.9553586549195854,51.948002,1.2920001,ok
337,19,1.8799445629119873,2007.0,,,,,,51.223793,1.4092588,skipped (<20 years)
338,18,1.9970399141311646,2024.0,,,,,,51.5,-2.7284,skipped (<20 years)
339,13,1.9894952774047852,2014.0,,,,,,51.570122,-2.7000217,skipped (<20 years)
342,11,1.7138781547546387,2020.0,,,,,,51.522301,3.4402001,skipped (<20 years)
35,10,1.9861822128295898,2009.0,,,,,,45.040483,-0.603517,skipped (<20 years)
368,15,1.3439842462539673,2014.0,,,,,,52.3385,-6.4589,skipped (<20 years)
369,13,1.9347368478775024,2024.0,,,,,,52.14767,-6.99188,skipped (<20 years)
375,22,1.3146730661392212,2014.0,-0.15979794782559775,0.7519830490527268,0.16115560519869987,0.08361523497926032,0.9943405041159512,52.792,-6.1451998,ok
376,17,1.3051377534866333,2014.0,,,,,,52.338501,-6.4589,skipped (<20 years)
377,15,1.3316653966903687,2014.0,,,,,,52.2696,-9.8620996,skipped (<20 years)
382,61,1.913209080696106,2020.0,0.22779970440713487,0.7573476828877561,0.3532781307977275,0.11669271931878686,0.349853139846952,52.013222,-4.98375,ok
383,61,1.9930473566055298,1976.0,0.3721177227088486,1.3662824343718385,0.3047489495510822,0.062444471793365985,0.9593032959576842,52.473083,1.75025,ok
384,40,1.9859278202056885,1990.0,0.5956765748102488,1.3979608270079895,0.3716854273525569,0.07647688333950309,0.9593615264652664,52.934194,1.301639,ok
385,33,1.8888694047927856,2013.0,0.831029417873866,1.3627831625535318,0.4411164674761551,0.08571016515644381,0.9514691043479612,52.719333,-4.045028,ok
386,58,1.9771314859390259,1989.0,0.5508771846604568,1.5562791405754295,0.25971555265021734,0.08857104229827584,0.71955798547679,52.964357,4.74499,ok
387,49,1.9958206415176392,1990.0,1.0185313683246149,1.6597866050248342,0.3422612069926602,0.10408954996475411,0.6255306163482472,52.931535,5.045596,ok
391,39,1.983573317527771,1983.0,0.697372010915807,1.5917198527005667,0.28278965964240327,0.08689695703433553,0.9052564736177505,52.462323,4.554823,ok
392,22,1.978406548500061,1969.0,0.3952847220019177,1.5648835349028813,0.20831268007928389,0.131571589355869,0.7942751130981853,52.467249,4.60506,ok
398,11,1.9608656167984009,1976.0,,,,,,52.934137,4.792286,skipped (<20 years)
4,75,1.8105942010879517,1972.0,0.06349433982646142,0.9254882959199926,0.21744902564856866,0.07934235535483036,0.7024139839943716,47.266862,-2.20155,ok
400,41,1.9359253644943237,2008.0,0.45197988057007804,1.5013634809536676,0.23972296918827657,0.09102002506009366,0.855725839987646,52.772657,4.649702,ok
401,57,1.994859218597412,1976.0,0.49473713413063714,1.5868436523005773,0.22312545947249163,0.06053946758064055,0.9768911200952259,52.099033,4.263563,ok
403,32,1.979424238204956,1993.0,1.0122687485495847,1.499245836938428,0.4860695893306086,0.14572259725174752,0.4619945900021073,52.09903557,4.2635626,ok
404,22,1.97157883644104,2013.0,0.8249241333889087,1.660614911065597,0.26036462540413174,0.09771097847803384,0.9711338903487017,52.46394337,4.51759573,ok
405,17,1.9549107551574707,1993.0,,,,,,52.77265954,4.64970234,skipped (<20 years)
41,72,1.4532426595687866,1987.0,-0.18205250042101914,0.6907391516384476,0.12690014555092055,0.06404219484888174,0.9108046156741728,48.3829,-4.4951,ok
413,35,1.992835283279419,1990.0,0.5712098620543126,1.4447498062353774,0.3411625007942535,0.07782259800371982,0.9728102554828532,52.9333,1.3,ok
414,35,1.4230692386627197,2022.0,-0.0692684906865304,0.7090811956379507,0.13589606747583832,0.09293412869029916,0.8956925561183645,52.016701,-4.9833298,ok
